name,company,place,salary,education,experience,label,scale,href,key_word,salary_avg,experience_years,education_level,scale_value,cluster
Python开发工程师,某基金/证券/期货公司,北京,30-55k·16薪,本科,经验不限,某基金/证券/期货公司 不需要融资,50-99人,https://www.liepin.com/a/69249149.shtml,Python,42.5,0.5,3,0,2
高级python数据开发工程师 LJ,某知名公司,北京-海淀区,35-60k·16薪,统招本科,5年以上,某知名公司 不需要融资,100-499人,https://www.liepin.com/a/70827591.shtml,Python,47.5,5.0,3,2,1
Python开发工程师,,北京-海淀区,18-25k,本科,经验不限,北京阿米奥机器人科技有限公司 A轮,50-99人,https://www.liepin.com/job/1979435039.shtml,Python,21.5,0.5,3,0,4
python开发工程师,某北京基金证券公司,北京,30-60k·16薪,统招本科,经验不限,某北京基金证券公司 融资未公开,100-499人,https://www.liepin.com/a/71065301.shtml,Python,45.0,0.5,3,2,2
Python开发工程师,同道猎聘集团,北京,20-30k·14薪,统招本科,2-5年,同道猎聘集团 港股上市,2000-5000人,https://www.liepin.com/job/1978867709.shtml,Python,25.0,3.5,3,0,4
Python工程师,某北京大型计算机软件公司,北京,40-60k·14薪,学历不限,经验不限,某北京大型计算机软件公司 融资未公开,500-999人,https://www.liepin.com/a/70824171.shtml,Python,50.0,0.5,0,3,0
python后端开发工程师,长安通信科技有限责任公司,北京-昌平区,15-25k,本科,1-3年,长安通信科技有限责任公司,500-999人,https://www.liepin.com/job/1948676599.shtml,Python,20.0,2.0,3,3,4
python研发工程师,北京赛迈特锐医疗科技有限公司,北京,8-12k,本科,1-3年,北京赛迈特锐医疗科技有限公司 A轮,50-99人,https://www.liepin.com/job/1936601809.shtml,Python,10.0,2.0,3,0,4
python工程师,北京博创尚和科技有限公司,北京,15-20k·13薪,本科,1-3年,北京博创尚和科技有限公司 融资未公开,50-99人,https://www.liepin.com/job/1936311751.shtml,Python,17.5,2.0,3,0,4
python开发工程师,北京网深科技有限公司,北京-朝阳区,18-22k,统招本科,3-5年,北京网深科技有限公司,1-49人,https://www.liepin.com/job/1935698445.shtml,Python,20.0,4.0,3,0,4
python（双休 大厂 年终奖),某深圳大型通信设备公司,北京,14-28k·14薪,本科,经验不限,某深圳大型通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/70860647.shtml,Python,21.0,0.5,3,5,2
后端开发(Go/python/C++),,北京,40-60k,本科,3-5年,科技金融 已上市,500-999人,https://www.liepin.com/a/70237673.shtml,Python,50.0,4.0,3,3,1
后端开发工程师（AI工业/java+python）,某北京IT服务公司,北京-朝阳区,14-16k,本科,3-5年,某北京IT服务公司 融资未公开,50-99人,https://www.liepin.com/a/70074957.shtml,Python,15.0,4.0,3,0,4
【头部金融公司】Python开发工程师，北京/上海,某北京基金/证券/期货公司,北京-海淀区,30-60k·16薪,统招本科,经验不限,某北京基金/证券/期货公司 融资未公开,100-499人,https://www.liepin.com/a/69501407.shtml,Python,45.0,0.5,3,2,2
Python数据（情报）分析工程师,某北京大型互联网公司,北京,12-20k·14薪,统招本科,3-5年,某北京大型互联网公司 融资未公开,500-999人,https://www.liepin.com/a/69236611.shtml,Python,16.0,4.0,3,3,4
Python开发工程师,天津和光同德科技股份有限公司北京分公司,北京-朝阳区,20-23k,本科,5-10年,天津和光同德科技股份有限公司北京分公司,50-99人,https://www.liepin.com/job/1979228927.shtml,Python,21.5,7.5,3,0,3
Python开发工程师,天津和光同德科技股份有限公司,北京-朝阳区,20-23k,本科,5-10年,天津和光同德科技股份有限公司,100-499人,https://www.liepin.com/job/1979224117.shtml,Python,21.5,7.5,3,2,3
