name,company,place,salary,education,experience,label,scale,href,key_word
AI攻击策略研究员,某成都网络/信息安全公司,成都-锦江区,20-30k·13薪,本科,3-5年,某成都网络/信息安全公司 A轮,50-99人,https://www.liepin.com/a/71045289.shtml,AI
AI算法工程师,某成都通信设备公司,成都,21-40k,本科,经验不限,某成都通信设备公司 融资未公开,1-49人,https://www.liepin.com/a/69004975.shtml,AI
AI产品经理,某知名公司,成都,15-25k·13薪,硕士,3-5年,某知名公司,1-49人,https://www.liepin.com/a/69357143.shtml,AI
医疗AI平台高级研发工程师,,成都,30-40k·16薪,统招本科,5-10年,某大型知名人工智能公司 已上市,10000人以上,https://www.liepin.com/a/70816243.shtml,AI
电商运营经理（AI、潮玩、IP、新消费美妆）,某成都工业自动化公司,成都,30-35k,本科,3-5年,某成都工业自动化公司 D轮及以上,100-499人,https://www.liepin.com/a/71000139.shtml,AI
AI Infra工程师（全栈方向）,睿思芯科,成都-高新区,20-40k·14薪,本科,经验不限,睿思芯科 B轮,100-499人,https://www.liepin.com/job/1978057307.shtml,AI
AI应用工程师（高教大数据咨询领域）,麦可思数据,成都,15-30k·13薪,统招本科,1-5年,麦可思数据,100-499人,https://www.liepin.com/job/1973619571.shtml,AI
语言测试/AI车企/外企,新超硕科技(北京)有限公司,成都-高新区,8-10k,本科,经验不限,新超硕科技(北京)有限公司,500-999人,https://www.liepin.com/job/1978911429.shtml,AI
AI产品负责人,某成都互联网公司,成都,25-35k,本科,3-5年,某成都互联网公司,50-99人,https://www.liepin.com/a/68938745.shtml,AI
AI&大数据架构师,某北京大型学术/科研公司,成都-武侯区,30-50k·14薪,统招本科,5-10年,某北京大型学术/科研公司 天使轮,500-999人,https://www.liepin.com/a/71054417.shtml,AI
解决方案售前顾问-AI方向,某上海计算机软件公司,成都,15-25k,本科,3-5年,某上海计算机软件公司 A轮,50-99人,https://www.liepin.com/a/71069033.shtml,AI
前端开发工程师（API &AI World平台）,某北京大型工业自动化公司,成都,20-27k·13薪,统招本科,5-10年,某北京大型工业自动化公司 融资未公开,10000人以上,https://www.liepin.com/a/71006023.shtml,AI
AI测试专家（国企）,某知名公司,成都,30-60k,统招本科,5-10年,某知名公司 天使轮,500-999人,https://www.liepin.com/a/71035323.shtml,AI
前端开发工程师（API &AI World平台）,某北京大型智能硬件公司,成都-金牛区,20-27k,本科,3-5年,某北京大型智能硬件公司 融资未公开,10000人以上,https://www.liepin.com/a/70990401.shtml,AI
AI内容创作,某成都大型珠宝/首饰公司,成都,20-40k,大专,3-5年,某成都大型珠宝/首饰公司,500-999人,https://www.liepin.com/a/71229005.shtml,AI
AI工程师（甲方代表）（多语言AI聊天机器人项目）,成都固得好海外企业管理有限公司,成都-高新区,20-25k,学历不限,经验不限,成都固得好海外企业管理有限公司,50-99人,https://www.liepin.com/job/1978115879.shtml,AI
AI研发工程师-某央企控股,某成都知名公司,成都,25-40k·14薪,统招本科,5年以上,某成都知名公司 战略融资,100-499人,https://www.liepin.com/a/70728437.shtml,AI
AI座舱产品经理,某成都大型整车制造公司,成都-龙泉驿区,30-35k·14薪,统招本科,3-5年,某成都大型整车制造公司 战略融资,5000-10000人,https://www.liepin.com/a/71187149.shtml,AI
AI职能体产品经理,某成都大型在线教育公司,成都,20-40k,统招本科,经验不限,某成都大型在线教育公司 A轮,5000-10000人,https://www.liepin.com/a/71413985.shtml,AI
AI销售专家,某北京IT服务公司,成都,30-60k·15薪,本科,3-5年,某北京IT服务公司,1-49人,https://www.liepin.com/a/70618497.shtml,AI
AI解决方案架构师,某成都大型电子商务公司,成都-金牛区,25-40k,统招本科,5-10年,某成都大型电子商务公司 战略融资,500-999人,https://www.liepin.com/a/71079999.shtml,AI
AI项目负责人/技术主管,某成都电子/半导体/集成电路公司,成都-温江区,20-30k,本科,3-5年,某成都电子/半导体/集成电路公司 不需要融资,100-499人,https://www.liepin.com/a/70139203.shtml,AI
AI大模型/NLP/图像/推荐/机器学习/运筹/运动控制算法工程师,某大型世界500强通信设备公司,成都,20-40k·16薪,统招本科,经验不限,某大型世界500强通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/71219103.shtml,AI
AI数字销售经理,某知名公司,成都,15-20k,学历不限,1年以下,某知名公司,50-99人,https://www.liepin.com/a/70473705.shtml,AI
AI产品经理,麦可思数据,成都,20-40k·13薪,硕士,3年以上,麦可思数据,100-499人,https://www.liepin.com/job/1977774451.shtml,AI
AI算法专家,某北京大型计算机软件公司,成都,40-60k,硕士,10年以上,某北京大型计算机软件公司 融资未公开,2000-5000人,https://www.liepin.com/a/69832569.shtml,AI
AI解决方案售前顾问-飞书渠道,字节跳动,成都-高新区,20-40k,本科,3-10年,字节跳动,10000人以上,https://www.liepin.com/job/1978314395.shtml,AI
项目经理（数字政府/智慧城市/AI）,某知名公司,成都,25-45k,硕士,5-10年,某知名公司 融资未公开,10000人以上,https://www.liepin.com/a/69063823.shtml,AI
HRBP总监-（AI业务）,某成都知名公司,成都,30-40k·16薪,本科,10年以上,某成都知名公司 已上市,1000-2000人,https://www.liepin.com/a/69242573.shtml,AI
AI编译器工程师,某大型世界500强通信设备公司,成都,90-120k·16薪,硕士,5-10年,某大型世界500强通信设备公司 战略融资,10000人以上,https://www.liepin.com/a/68949771.shtml,AI
算法工程师（AI+医疗大模型）,某知名公司,成都,35-65k,硕士,5-10年,某知名公司 天使轮,500-999人,https://www.liepin.com/a/71035271.shtml,AI
AI产品经理,某知名公司,成都,25-45k,硕士,5-10年,某知名公司 融资未公开,10000人以上,https://www.liepin.com/a/68974839.shtml,AI
AI Development Engineer（外资三大药企）,世界三大药厂之一,成都,20-40k,硕士,5-10年,世界三大药厂之一 不需要融资,10000人以上,https://www.liepin.com/a/70707113.shtml,AI
AI算法工程师（Agent),外资医疗信息技术服务公司,成都,20-30k·13薪,统招本科,1年以上,外资医疗信息技术服务公司,500-999人,https://www.liepin.com/a/71074757.shtml,AI
AI团队负责人,某成都电子/半导体/集成电路公司,成都-温江区,20-30k·13薪,学历不限,3-5年,某成都电子/半导体/集成电路公司 不需要融资,100-499人,https://www.liepin.com/a/70072513.shtml,AI
AI Engineer,某大型制药公司,成都,25-50k·13薪,硕士,3-5年,某大型制药公司 不需要融资,10000人以上,https://www.liepin.com/a/70704771.shtml,AI
,,,,,,,,https://www.liepin.com/job/1965548985.shtml,AI
AI算法工程師,鸿富锦精密电子(成都)有限公司,成都-高新区,20-50k·13薪,博士,经验不限,鸿富锦精密电子(成都)有限公司,10000人以上,https://www.liepin.com/job/1976420025.shtml,AI
Ai fabric高阶-互联架构/数据路径架构/流量管理架构/转发架构/协议架构/esl/ rtl leader/dv leader/PD,某上海电子/半导体/集成电路公司,成都,100-150k·15薪,统招本科,10年以上,某上海电子/半导体/集成电路公司 A轮,100-499人,https://www.liepin.com/a/70168919.shtml,AI
